wordID,word,sentiment
1,2-faced,-1
2,2-faces,-1
3,a+,1
4,abandon,-1
5,abandoned,-1
6,abandonment,-1
7,abase,-1
8,abasement,-1
9,abash,-1
10,abate,-1
11,abdicate,-1
12,aberration,-1
13,abhor,-1
14,abhorred,-1
15,abhorrence,-1
16,abhorrent,-1
17,abhorrently,-1
18,abhors,-1
19,abidance,1
20,abide,1
21,abilities,1
22,ability,1
23,abject,-1
24,abjectly,-1
25,abjure,-1
26,able,1
27,abnormal,-1
28,abolish,-1
29,abominable,-1
30,abominably,-1
31,abominate,-1
32,abomination,-1
33,abort,-1
34,aborted,-1
35,aborts,-1
36,abound,1
37,abounds,1
38,above,1
39,above-average,1
40,abrade,-1
41,abrasive,-1
42,abrupt,-1
43,abruptly,-1
44,abscond,-1
45,absence,-1
46,absent-minded,-1
47,absentee,-1
48,absolute,0
49,absolutely,0
50,absolve,1
51,absorbed,0
52,absurd,-1
53,absurdity,-1
54,absurdly,-1
55,absurdness,-1
56,abundance,1
57,abundant,1
58,abuse,-1
59,abused,-1
60,abuses,-1
61,abusive,-1
62,abysmal,-1
63,abysmally,-1
64,abyss,-1
65,accede,1
66,accentuate,0
67,accept,1
68,acceptable,1
69,acceptance,1
70,accessable,1
71,accessible,1
72,accidental,-1
73,acclaim,1
74,acclaimed,1
75,acclamation,1
76,accolade,1
77,accolades,1
78,accommodative,1
79,accomodative,1
80,accomplish,1
81,accomplished,1
82,accomplishment,1
83,accomplishments,1
84,accord,1
85,accordance,1
86,accordantly,1
87,accost,-1
88,accountable,-1
89,accurate,1
90,accurately,1
91,accursed,-1
92,accusation,-1
93,accusations,-1
94,accuse,-1
95,accuses,-1
96,accusing,-1
97,accusingly,-1
98,acerbate,-1
99,acerbic,-1
100,acerbically,-1
101,ache,-1
102,ached,-1
103,aches,-1
104,achey,-1
105,achievable,1
106,achieve,1
107,achievement,1
108,achievements,1
109,achievible,1
110,aching,-1
111,acknowledge,1
112,acknowledgement,1
113,acquit,1
114,acrid,-1
115,acridly,-1
116,acridness,-1
117,acrimonious,-1
118,acrimoniously,-1
119,acrimony,-1
120,active,1
121,activist,0
122,actual,0
123,actuality,0
124,actually,0
125,acumen,1
126,adamant,-1
127,adamantly,-1
128,adaptability,1
129,adaptable,1
130,adaptive,1
131,addict,-1
132,addicted,-1
133,addicting,-1
134,addiction,-1
135,addicts,-1
136,adept,1
137,adeptly,1
138,adequate,1
139,adherence,1
140,adherent,1
141,adhesion,1
142,adjustable,1
143,admirable,1
144,admirably,1
145,admiration,1
146,admire,1
147,admirer,1
148,admiring,1
149,admiringly,1
150,admission,1
151,admit,1
152,admittedly,1
153,admonish,-1
154,admonisher,-1
155,admonishingly,-1
156,admonishment,-1
157,admonition,-1
158,adolescents,0
159,adorable,1
160,adore,1
161,adored,1
162,adorer,1
163,adoring,1
164,adoringly,1
165,adrift,-1
166,adroit,1
167,adroitly,1
168,adulate,1
169,adulation,1
170,adulatory,1
171,adulterate,-1
172,adulterated,-1
173,adulteration,-1
174,adulterier,-1
175,advanced,1
176,advantage,1
177,advantageous,1
178,advantageously,1
179,advantages,1
180,adventure,1
181,adventuresome,1
182,adventurism,1
183,adventurous,1
184,adversarial,-1
185,adversary,-1
186,adverse,-1
187,adversity,-1
188,advice,1
189,advisable,1
190,advocacy,1
191,advocate,1
192,advocated,1
193,advocates,1
194,affability,1
195,affable,1
196,affably,1
197,affect,0
198,affectation,0
199,affected,0
200,affection,1
201,affectionate,1
202,affinity,1
203,affirm,1
204,affirmation,1
205,affirmative,1
206,afflict,-1
207,affliction,-1
208,afflictive,-1
209,affluence,1
210,affluent,1
211,afford,1
212,affordable,1
213,affordably,1
214,affront,-1
215,afloat,1
216,afordable,1
217,afraid,-1
218,against,-1
219,aggravate,-1
220,aggravating,-1
221,aggravation,-1
222,aggression,-1
223,aggressive,-1
224,aggressiveness,-1
225,aggressor,-1
226,aggrieve,-1
227,aggrieved,-1
228,aggrivation,-1
229,aghast,-1
230,agile,1
231,agilely,1
232,agility,1
233,agitate,-1
234,agitated,-1
235,agitation,-1
236,agitator,-1
237,agonies,-1
238,agonize,-1
239,agonizing,-1
240,agonizingly,-1
241,agony,-1
242,agree,1
243,agreeability,1
244,agreeable,1
245,agreeableness,1
246,agreeably,1
247,agreement,1
248,aground,-1
249,aha,0
250,ail,-1
251,ailing,-1
252,ailment,-1
253,aimless,-1
254,air,0
255,airs,-1
256,alarm,-1
257,alarmed,-1
258,alarming,-1
259,alarmingly,-1
260,alas,-1
261,alert,0
262,alienate,-1
263,alienated,-1
264,alienation,-1
265,all-around,1
266,all-time,0
267,allay,1
268,allegation,-1
269,allegations,-1
270,allege,-1
271,allegorize,0
272,allergic,-1
273,allergies,-1
274,allergy,-1
275,alleviate,1
276,alliance,0
277,alliances,0
278,allow,1
279,allowable,1
280,allure,1
281,alluring,1
282,alluringly,1
283,allusion,0
284,allusions,0
285,ally,1
286,almighty,1
287,aloof,-1
288,altercation,-1
289,although,-1
290,altogether,0
291,altruist,1
292,altruistic,1
293,altruistically,1
294,amaze,1
295,amazed,1
296,amazement,1
297,amazes,1
298,amazing,1
299,amazingly,1
300,ambiguity,-1
301,ambiguous,-1
302,ambitious,1
303,ambitiously,1
304,ambivalence,-1
305,ambivalent,-1
306,ambush,-1
307,ameliorate,1
308,amenable,1
309,amenity,1
310,amiability,1
311,amiabily,1
312,amiable,1
313,amicability,1
314,amicable,1
315,amicably,1
316,amiss,-1
317,amity,1
318,amnesty,1
319,amour,1
320,ample,1
321,amplify,0
322,amply,1
323,amputate,-1
324,amuse,1
325,amusement,1
326,amusing,1
327,amusingly,1
328,analytical,0
329,anarchism,-1
330,anarchist,-1
331,anarchistic,-1
332,anarchy,-1
333,anemic,-1
334,angel,1
335,angelic,1
336,anger,-1
337,angrily,-1
338,angriness,-1
339,angry,-1
340,anguish,-1
341,animated,1
342,animosity,-1
343,annihilate,-1
344,annihilation,-1
345,annoy,-1
346,annoyance,-1
347,annoyances,-1
348,annoyed,-1
349,annoying,-1
350,annoyingly,-1
351,annoys,-1
352,anomalous,-1
353,anomaly,-1
354,antagonism,-1
355,antagonist,-1
356,antagonistic,-1
357,antagonize,-1
358,anti-,-1
359,anti-American,-1
360,anti-Israeli,-1
361,anti-occupation,-1
362,anti-proliferation,-1
363,anti-Semites,-1
364,anti-social,-1
365,anti-US,-1
366,anti-white,-1
367,antipathy,-1
368,antiquated,-1
369,antithetical,-1
370,anxieties,-1
371,anxiety,-1
372,anxious,-1
373,anxiously,-1
374,anxiousness,-1
375,anyhow,0
376,anyway,0
377,anyways,0
378,apathetic,-1
379,apathetically,-1
380,apathy,-1
381,ape,-1
382,apocalypse,-1
383,apocalyptic,-1
384,apologist,-1
385,apologists,-1
386,apostle,1
387,apotheosis,1
388,appal,-1
389,appall,-1
390,appalled,-1
391,appalling,-1
392,appallingly,-1
393,apparent,0
394,apparently,0
395,appeal,1
396,appealing,1
397,appear,0
398,appearance,0
399,appease,1
400,applaud,1
401,appreciable,1
402,appreciate,1
403,appreciated,1
404,appreciates,1
405,appreciation,1
406,appreciative,1
407,appreciatively,1
408,appreciativeness,1
409,apprehend,0
410,apprehension,-1
411,apprehensions,-1
412,apprehensive,-1
413,apprehensively,-1
414,appropriate,1
415,approval,1
416,approve,1
417,apt,1
418,aptitude,1
419,aptly,1
420,arbitrary,-1
421,arcane,-1
422,archaic,-1
423,ardent,1
424,ardently,1
425,ardor,1
426,arduous,-1
427,arduously,-1
428,argue,-1
429,argument,-1
430,argumentative,-1
431,arguments,-1
432,aristocratic,1
433,arousal,1
434,arouse,1
435,arousing,1
436,arresting,1
437,arrogance,-1
438,arrogant,-1
439,arrogantly,-1
440,articulate,1
441,artificial,-1
442,ascendant,1
443,ascertainable,1
444,ashamed,-1
445,asinine,-1
446,asininely,-1
447,asinininity,-1
448,askance,-1
449,asperse,-1
450,aspersion,-1
451,aspersions,-1
452,aspiration,1
453,aspirations,1
454,aspire,1
455,assail,-1
456,assassin,-1
457,assassinate,-1
458,assault,-1
459,assent,1
460,assertions,1
461,assertive,1
462,assess,0
463,assessment,0
464,assessments,0
465,asset,1
466,assiduous,1
467,assiduously,1
468,assuage,1
469,assult,-1
470,assumption,0
471,assurance,1
472,assurances,1
473,assure,1
474,assuredly,1
475,assuring,1
476,astonish,1
477,astonished,1
478,astonishing,1
479,astonishingly,1
480,astonishment,1
481,astound,1
482,astounded,1
483,astounding,1
484,astoundingly,1
485,astray,-1
486,astronomic,0
487,astronomical,0
488,astronomically,0
489,astute,1
490,astutely,1
491,asunder,-1
492,asylum,1
493,atrocious,-1
494,atrocities,-1
495,atrocity,-1
496,atrophy,-1
497,attack,-1
498,attacks,-1
499,attain,1
500,attainable,1
501,attentive,1
502,attest,1
503,attitude,0
504,attitudes,0
505,attraction,1
506,attractive,1
507,attractively,1
508,attune,1
509,audacious,-1
510,audaciously,-1
511,audaciousness,-1
512,audacity,-1
513,audible,1
514,audibly,1
515,audiciously,-1
516,auspicious,1
517,austere,-1
518,authentic,1
519,authoritarian,-1
520,authoritative,1
521,autocrat,-1
522,autocratic,-1
523,autonomous,1
524,available,1
525,avalanche,-1
526,avarice,-1
527,avaricious,-1
528,avariciously,-1
529,avenge,-1
530,aver,1
531,averse,-1
532,aversion,-1
533,avid,1
534,avidly,1
535,avoid,-1
536,avoidance,-1
537,award,1
538,awarded,1
539,awards,1
540,aware,0
541,awareness,0
542,awe,1
543,awed,1
544,aweful,-1
545,awesome,1
546,awesomely,1
547,awesomeness,1
548,awestruck,1
549,awful,-1
550,awfully,-1
551,awfulness,-1
552,awkward,-1
553,awkwardness,-1
554,awsome,1
555,ax,-1
556,babble,-1
557,baby,0
558,back,1
559,back-logged,-1
560,back-wood,-1
561,back-woods,-1
562,backache,-1
563,backaches,-1
564,backaching,-1
565,backbite,-1
566,backbiting,-1
567,backbone,1
568,backward,-1
569,backwardness,-1
570,backwood,-1
571,backwoods,-1
572,bad,-1
573,badly,-1
574,baffle,-1
575,baffled,-1
576,bafflement,-1
577,baffling,-1
578,bait,-1
579,balanced,1
580,balk,-1
581,banal,-1
582,banalize,-1
583,bane,-1
584,banish,-1
585,banishment,-1
586,bankrupt,-1
587,bar,-1
588,barbarian,-1
589,barbaric,-1
590,barbarically,-1
591,barbarity,-1
592,barbarous,-1
593,barbarously,-1
594,barely,-1
595,bargain,1
596,barren,-1
597,baseless,-1
598,bash,-1
599,bashed,-1
